tenant_id,yil,yil_durum,surec,kpi_id,pg,durum,etkin_hedef,config_hedef,snapshot_hedef,temel_hedef,cakisma,config_var,is_included,birim,periyot
16,2025,closed,"SR11 - MAKİNA, TEKNOLOJİ VE BİLGİ YÖNETİMİ SÜREÇ KARNESİ",378,Araçsız Kalınan Gün Sayısı,FALLBACK,0,,,0,,,,Gün,Aylık
16,2026,active,"SR11 - MAKİNA, TEKNOLOJİ VE BİLGİ YÖNETİMİ SÜREÇ KARNESİ",378,Araçsız Kalınan Gün Sayısı,FALLBACK,0,,,0,,,,Gün,Aylık
16,2020,draft,"SR11 - MAKİNA, TEKNOLOJİ VE BİLGİ YÖNETİMİ SÜREÇ KARNESİ",402,Elektrik Tüketim Miktarı,YOK,,,,,,,,,Çeyreklik
16,2021,closed,"SR11 - MAKİNA, TEKNOLOJİ VE BİLGİ YÖNETİMİ SÜREÇ KARNESİ",402,Elektrik Tüketim Miktarı,YOK,,,,,,,,,Çeyreklik
16,2022,closed,"SR11 - MAKİNA, TEKNOLOJİ VE BİLGİ YÖNETİMİ SÜREÇ KARNESİ",402,Elektrik Tüketim Miktarı,YOK,,,,,,,,,Çeyreklik
16,2023,closed,"SR11 - MAKİNA, TEKNOLOJİ VE BİLGİ YÖNETİMİ SÜREÇ KARNESİ",402,Elektrik Tüketim Miktarı,YOK,,,,,,,,,Çeyreklik
16,2024,closed,"SR11 - MAKİNA, TEKNOLOJİ VE BİLGİ YÖNETİMİ SÜREÇ KARNESİ",402,Elektrik Tüketim Miktarı,YOK,,,,,,,,,Çeyreklik
16,2025,closed,"SR11 - MAKİNA, TEKNOLOJİ VE BİLGİ YÖNETİMİ SÜREÇ KARNESİ",402,Elektrik Tüketim Miktarı,SNAPSHOT,187,,187,,,,,,Çeyreklik
16,2026,active,"SR11 - MAKİNA, TEKNOLOJİ VE BİLGİ YÖNETİMİ SÜREÇ KARNESİ",402,Elektrik Tüketim Miktarı,SNAPSHOT,187,,187,,,,,,Çeyreklik
16,2020,draft,"SR11 - MAKİNA, TEKNOLOJİ VE BİLGİ YÖNETİMİ SÜREÇ KARNESİ",414,Herhangi Bir Arizi Sebeple Eğitim Verilemeyen Gün Sayısı,FALLBACK,4,,,4,,,,Gün,Çeyreklik
